ENST00000632638.1	0	0	64.7072	0	37.1706	0	9.04297	34.9707	0	12.1283	0	0	40.9206	0	78.1634	0	0	9.07849	0	6.05817
ENST00000631824.1	0	0	31.4591	0	42.1765	0	0	13.6877	0	0	0	0	142.888	0	54.0331	0	0	0	0	0
ENST00000610439.4	0	0	8.13227	7.65478	50.0462	0	0	0	0	47.1185	0	0	16.5408	8.23415	0	0	0	0	15.9224	46.8533
ENST00000632021.1	105.478	206.48	111.842	134.351	162.129	18.8945	165.37	19.842	136.344	77.8635	110.905	178.582	87.0002	308.617	140.242	0	95.072	94.2123	285.19	38.7691
ENST00000633283.1	25.6099	31.7364	101.458	51.4654	104.09	22.0156	79.1102	46.8394	14.8206	75.2612	59.7931	77.3959	142.925	78.847	147.535	0	22.2646	43.9197	68.4297	67.3775
ENST00000631392.1	0	207.762	47.1679	133.274	161.281	0	86.8978	47.1396	74.6057	60.6675	68.7962	242.663	63.9936	0	193.237	14.9971	89.7079	29.4775	30.6379	90.5143
ENST00000633466.1	0	0	146.091	0	104.67	0	0	116.096	0	47.4935	0	0	76.2997	0	104.74	0	0	95.6739	0	50.281
ENST00000631427.1	110.553	0	30.3855	47.9646	133.017	47.8783	0	20.0896	47.6638	45.3584	110.046	0	51.3422	101.773	103.608	75.5218	0	28.6018	0	48.4442
ENST00000633575.1	0	90.2318	0	13.9124	7.57604	0	0	0	0	14.301	0	178.521	15.0375	0	0	0	42.2691	13.8841	0	0
ENST00000633328.1	201.113	77.8569	214.432	0	329.289	28.8274	28.2166	61.1423	43.5686	73.7757	117.133	100.82	93.3534	61.7875	361.001	58.3585	43.6779	143.598	29.7318	117.443
ENST00000631882.1	0	59.3228	0	13.7212	44.8889	0	0	0	13.8704	14.1113	0	47.9402	29.6313	0	68.5927	13.8663	0	0	42.3967	0
ENST00000631559.1	0	24.0874	35.74	11.2281	6.09033	5.61146	33.144	5.93192	0	5.72964	0	0	6.06601	35.8921	33.2564	0	5.71287	0	11.453	34.2429
ENST00000633842.1	10.9873	103.24	30.1974	0	20.8452	0	0	0	0	19.4659	0	78.1295	10.15	20.5744	10.0173	0	9.5072	18.8425	20.3707	19.3846
ENST00000632560.1	0	0	201.316	57.5791	104.226	0	36.7489	39.684	38.9555	19.4659	0	66.9682	142.1	61.7233	60.1039	0	38.0288	18.8425	20.3707	0
ENST00000633796.1	37.3146	25.9854	25.4903	40.2035	26.2308	16.0048	7.80078	34.1299	81.1621	24.7269	37.1029	9.38013	25.9812	60.4656	32.6042	8.17215	0	7.99103	75.5746	8.16576
ENST00000619125.2	19.8492	27.8593	90.6771	86.0994	140.38	8.5445	66.238	27.2586	87.323	43.8388	9.89963	40.1843	73.6716	73.6733	61.5855	0	25.8137	51.1484	90.1833	87.6476
ENST00000633072.1	131.164	142.655	67.0459	37.8769	75.3016	6.30828	55.7747	0	31.729	38.7325	73.1105	80.7375	88.5318	33.5969	68.7931	12.6844	25.5682	62.7737	0	19.2599
ENST00000632432.1	0	6.97609	20.6451	25.9057	28.1176	0	19.0725	6.84385	0	0	22.5742	60.2513	0	20.7039	0	6.50894	26.2364	12.9009	13.2848	32.9446
ENST00000631639.1	19.4742	71.9696	0	0	9.03943	8.44943	41.7135	0	0	0	0	57.6818	0	0	8.32936	0	25.841	0	0	0
ENST00000633384.1	9.5193	13.3764	15.3094	25.8841	15.5667	0	4.16265	6.42253	6.17727	14.4249	4.7858	9.46431	22.0647	8.87359	14.772	2.08713	2.12208	10.3675	12.7954	6.2716
ENST00000632148.1	453.43	0	32.0196	28.782	0	30.2441	0	12.1634	30.2618	0	553.197	0	32.7594	31.6929	0	0	0	0	29.8197	0
ENST00000631557.1	38.7398	57.6847	128.114	80.2823	21.8378	20.1199	0	35.4094	67.3961	13.7219	46.7181	46.6526	64.9679	100.117	26.6355	26.9446	13.5277	46.6895	54.9161	20.4327
ENST00000633092.1	0	231.791	32.5291	76.5478	8.34103	7.61923	104.543	0	30.8898	15.7062	0	197.102	0	181.151	92.6757	0	77.1247	45.7327	79.6122	0
ENST00000632216.1	69.8122	48.6045	0	7.50457	24.4872	29.9433	29.3069	0	37.8476	7.69749	148.13	17.5495	16.2251	16.129	52.8325	91.2119	22.744	14.9377	23.3344	45.8628
ENST00000633472.1	39.4337	55.2939	36.0794	17.0764	37.214	0	32.9178	36.1729	0	17.4291	19.6433	19.956	0	18.3103	52.3853	0	34.1819	50.8853	0	34.795
ENST00000632016.1	0	0	11.5183	0	216.497	67.544	0	0	68.5754	87.4466	0	0	11.2854	73.6457	99.6532	186.895	14.3741	56.7345	42.8742	72.544
ENST00000633292.1	15.8742	14.3903	26.9689	6.35566	110.168	0	31.1634	6.71359	44.7419	0	0	22.1676	37.4828	17.9655	25.1903	19.1455	0	6.32069	26.0428	19.3844
ENST00000632422.1	33.2797	7.72705	38.0227	28.6127	7.79256	14.3098	0	30.3698	0	29.3332	33.2061	16.6912	54.1401	30.6741	21.515	7.24543	21.7076	21.416	44.249	7.30227
ENST00000634198.1	23.0758	42.9338	77.7808	66.4455	93.9507	6.66494	52.2185	28.1251	73.6105	95.4389	38.6646	69.512	86.042	85.2053	33.0592	0	13.4482	46.3692	47.7337	27.0513
ENST00000631835.1	0	0	0	35.1903	19.1174	0	0	12.397	17.7411	0	27.1961	13.623	12.6802	31.2928	34.8447	0	23.8939	11.6883	0	11.93
ENST00000542354.1	0	76.7681	0	0	0	0	13.9222	30.1412	14.3443	0	16.4985	66.301	0	60.9029	0	14.3765	57.4964	56.7345	0	0
